App id,Review id,Sentence id,Sentence content,Feature (Positive),Feature (Neutral),Feature (Negative),Feature (All Annotated)
com.zentertain.photoeditor,gp:AOqpTOEW40L9WXqCjzq04bqaZImgMdzlczxIF3_ibs8uLg-AfilbssRdMKE5oPPQnXDlw_LdpW5dkuI9WPP6jA4,1,May be i can check,,,,
com.zentertain.photoeditor,gp:AOqpTOF57AQPvmnCiWYurwLY-F2-mej25ON8RAFk-LswCMIZtq86ilHriz3feQ9k0h7RhL0QiSWk4U99LBErOyo,1,It make me happy,,,,
com.zentertain.photoeditor,gp:AOqpTOHYdmt72q4tSD8TZ8A5fZQqGivlBkIbWuHuJMZYzfs60W9N5o7GPCK4cJScYXvC3tcaO86JP-1Lv3EOjrs,1,I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account ... wings_2004,,pics,,pics
com.zentertain.photoeditor,gp:AOqpTOFYnXMShrDJPS0jpM04pFQxYOJN1LDuX3lSNm06-73J9voSFo5lpIwecDAeawyQ2fQqaXOrYVNE4_VrvUk,1,Love it so much,,,,
com.zentertain.photoeditor,gp:AOqpTOF_JO496wnThQ2kcYlPct_g1GhOmQyyVvHp4VVUEJjRB99G_bz1kxw05VOvhBgabtbRKPP7Ui_3h8jouDA,1,Cant get to install,,install,,install
com.zentertain.photoeditor,gp:AOqpTOHngsg4rH9hhnkMvmfTBetw8W5oNPFvVG4DOMLUkUvz_Xim3vsvRj66ThBxAk2SWVm-cO1mt7evFvdUywg,1,Too many ads and secondly erratic interface.,,ads,interface,ads;interface
com.zentertain.photoeditor,gp:AOqpTOHngsg4rH9hhnkMvmfTBetw8W5oNPFvVG4DOMLUkUvz_Xim3vsvRj66ThBxAk2SWVm-cO1mt7evFvdUywg,2,I have already uninstalled,,uninstalled,,uninstalled
com.zentertain.photoeditor,gp:AOqpTOHKHFklimpVTY1FLORdeeT_0e6o6uZkwmM1gG-34b4AfFSB2_OMGtwU8K-P23TC1PLEIUAok_GhSe5KSBA,1,Its so happy,,,,
com.zentertain.photoeditor,gp:AOqpTOF-cffgSonaElAlUsEPVOIg_MuTSbvfJ2AR77gyTEGx7GKAbP9KCtshzHHrcCuE0b7YSLtObGUFMReiuWY,1,Nicest systematic for Android phones,,,,
com.zentertain.photoeditor,gp:AOqpTOEhoSCYpfLpjgg5PPkcRO6lsqhfUeqwpDty6KzcI4PSA6Hu2oQxbloPVbyGtYiRyaB6aYRwq4UmmkehKMw,1,Its so easy and fun,,,,
com.zentertain.photoeditor,gp:AOqpTOH92lp1kTfi_m0kIvEZgXrKQbXHgEvMFUIi3InTZdBKNDtfKb7ucZ6VQN0JRmPggV7pBWA-XYjZti4a29I,1,Main diss app tight um hmmm,,,,
com.zentertain.photoeditor,gp:AOqpTOFIt0cNHlpMS3za21IUwQ50y36FJfio-6lw-SVn5MnCVl1JlnaAcig4ASthUz3cBosbzG5ecKjeELB867Y,1,Everything is awesome,,,,
com.zentertain.photoeditor,gp:AOqpTOGMKvqLvLzo3O87iY2El_Dkg6ox2Bfr0m5fEEM6e-lPJCd4ZhEPtnQSAe8gaCDhtM4K4FWpaCbsGTChJA8,1,"I've downloaded a few different ones and this is easy to use, and the pictures come out great.",pictures,,,pictures
com.zentertain.photoeditor,gp:AOqpTOGMKvqLvLzo3O87iY2El_Dkg6ox2Bfr0m5fEEM6e-lPJCd4ZhEPtnQSAe8gaCDhtM4K4FWpaCbsGTChJA8,2,Plenty of options to choose from to make whatever kind of picture you would like,,options to choose from;make whatever kind of picture,,options to choose from;make whatever kind of picture
com.zentertain.photoeditor,gp:AOqpTOG5mGIwa7qIhJLxdTBoAZPXxKiEyIe7weHf0z8IKPBDY3JfBzw0PVwLikO4hWkfTCfwmjI0zdSaNJET-fI,1,Like it but not so cool app,,,,
com.zentertain.photoeditor,gp:AOqpTOF6liIj_W6CuDm-L1zwXDEOIaIBmKrMg1rOMaMRePoUBBO_-MLEbn1u3EZaFlw6ZQXkpCrF43jXd_jyfIo,1,"I really like the HD effect, brightness and color correction features.",HD effect;brightness correction;color correction,,,HD effect;brightness correction;color correction
com.zentertain.photoeditor,gp:AOqpTOFnQ3VKMixz5ISbVpRW966yVlD5PjAfgZLCS1S4DqQEFyXtv1ltrCjWX43W2kZJinWmRDAsnvxxUmB5X4g,1,I can basically change the whole pic   its so cool :-) lol :-),change the whole pic,,,change the whole pic
com.zentertain.photoeditor,gp:AOqpTOG_khE5NLIxCroXoaCyDqmXXCmRFtK-jcU7JE9pVJB6sljQiWmICkGnQWHMh5EHXLPVMXXFpXx8wyEo1FQ,1,I can't  believe  how easy  it is.,,,,
com.zentertain.photoeditor,gp:AOqpTOEhiIJduGwzKBeg-8af26Pvexs8WQMiRCLck9k9GFYt7Zsc8ew1aJV-V3FUq-wZSRn85UVb3SnDH0LNI0Q,1,This app is very good for photos editer,photos editer,,,photos editer
com.zentertain.photoeditor,gp:AOqpTOFleMJ3D9dvzYDpXyETNqlMwvsh_Oj5hkNdABC3l2cb4FQopqtdLqLZKz6VMPtjHLzpuAcvS7IpyILeo7M,1,It is just simple and Good app.,,,,
com.zentertain.photoeditor,gp:AOqpTOFTYlBOaVd9KTihYj-lzRJ7bfGAoGS09DPKX-8EqL9r15Q1sA0LXoBP-1D6mO1qoX4YXPnD6ECSSvJPX_8,1,Its ok but u have to download stuff,,,,
com.zentertain.photoeditor,gp:AOqpTOEctIpCvDaSWuPm1EQbhChzFfrIudkdcVCRQYRQmbe01pjw9KeWPfd2-o_bdeDDlic0W4DxsIGccg-5F8E,1,Ive used this on my previous phone.worked prrfectly but ive recntly bought samsung galaxy a5 the splash and focus functn doesnt work.plz help!!,,splash functn;focus functn,,splash functn;focus functn
com.zentertain.photoeditor,gp:AOqpTOEF0elHG7_9E6miSIFJDy1zJvh1t2f5ISwyCSOVFFebAZdh72LQ3hExrtljAj864MfEXJJx-gj_2Aait-s,1,This is perfect.,,,,
com.zentertain.photoeditor,gp:AOqpTOEF0elHG7_9E6miSIFJDy1zJvh1t2f5ISwyCSOVFFebAZdh72LQ3hExrtljAj864MfEXJJx-gj_2Aait-s,2,"If only you could make a video editor, too, that is just as good as this.",,make a video editor,,make a video editor
com.zentertain.photoeditor,gp:AOqpTOHKg_6SBXtlVacsKWi9GtCJSjfDsACYhB08RdYKO5VrBAu3e6UxE_rmWPEruV5RFgxaHCBLVrF5c3j410U,1,Makes awesome book covers!,book covers,,,book covers
com.zentertain.photoeditor,gp:AOqpTOGFBpCyRHMDbrAN6F0Tgu8lAUGGuR687VActaajppisTnwPSD-whXKc7bbwUtHUSGOdT3omGs_QxUqo5hc,1,There's an ad after every other button I press,,,,
com.zentertain.photoeditor,gp:AOqpTOHR_aDS418yl4p4leTbk_uWCXYke_TmZRU0yxYqDEecjxNF_arRNcTXWsDuxqvaiWE_WyEFWgXv6GjPl-Y,1,Its has alot of things awesome,,,,
com.zentertain.photoeditor,gp:AOqpTOFj4uJETf_swOr1SyuK1HGVfVVUdBfI5hPI8eyOE7IrBhs8BG6ux4lVxMEK-F961m3-OEURs8gUjT8yrIQ,1,This is awesome app.,,,,
com.zentertain.photoeditor,gp:AOqpTOEz4hkDty6PIyy1CWSJzRdvnHy7WuzBkiQ0C_Cx-24_HNk-TvHQl9-BVopZ4lBMWWAW_RLOIMUoLQjQreI,1,its alright so far,,,,
com.zentertain.photoeditor,gp:AOqpTOFX4mz-AmTn9ATvNHyW9pG5JQp7Veok9sX_m3g4raHkYibogLB6mv4LVrlSIWv8jXp0V7_bBmEGioB8wT4,1,I like how it is fast and easy to use!,,,,
