,review,labeled (humans),extracted (re-bert)
0,May be i can check , ,check 
1,It make me happy , ,make 
2,I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account     wings_2004 ,pics ,pics;instagran account 
3,Love it so much , , 
4,Cant get to install ,install ,install 
5,Too many ads and secondly erratic interface  ,ads;interface ,ads;erratic interface 
6,I have already uninstalled ,uninstalled ,uninstalled 
7,Its so happy , , 
8,Nicest systematic for Android phones , , 
9,Its so easy and fun , ,fun 
10,Main diss app tight um hmmm , , 
11,Everything is awesome , , 
12,"Ive downloaded a few different ones and this is easy to use, and the pictures come out great  ",pictures ,pictures 
13,Plenty of options to choose from to make whatever kind of picture you would like ,options to choose from;make whatever kind of picture ,make whatever;picture 
14,Like it but not so cool app , ,cool 
15,"I really like the HD effect, brightness and color correction features  ",HD effect;brightness correction;color correction ,HD;brightness;color correction 
16,I can basically change the whole pic   its so cool :-) lol :-) ,change the whole pic ,change;whole pic 
17,I cant  believe  how easy  it is  , ,believe 
18,This app is very good for photos editer ,photos editer ,photos editer 
19,It is just simple and Good app  , , 
20,Its ok but u have to download stuff , ,download stuff 
21,Ive used this on my previous phone worked prrfectly but ive recntly bought samsung galaxy a5 the splash and focus functn doesnt work plz help!! ,splash functn;focus functn , 
22,This is perfect  , , 
23,"If only you could make a video editor, too, that is just as good as this  ",make a video editor ,make;video editor 
24,Makes awesome book covers! ,book covers ,book covers 
25,Theres an ad after every other button I press , ,ad;button 
26,Its has alot of things awesome , ,things 
27,This is awesome app  , , 
28,its alright so far , , 
29,I like how it is fast and easy to use! , ,use 
30,"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing ",photo editing;photo editors;editing ,photo editors;editing;photo editing 
31,"super easy and i love the effects ,also super easy to install!! ",effects;install ,install 
32,Very good app , , 
33,The app has very good features indeed    , , 
34,I would give this app a 5 if there were not so many ads ,ads ,ads 
35,never use it its fake , ,fake 
36,Easy to use! , ,use 
37,Covers imperfections and has cool filters! ,filters;Covers imperfections ,Covers imperfections;cool filters 
38,I love did App Its Amazing!! , , 
39,Its a great app , , 
40,"Very useful, full features without any pro version purchase ", ,version purchase 
41,I LOVE IT , , 
42,There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last  ,ads popping up;ad pops up ,ads popping up;ad pops up 
43,I have used it  , , 
44,Its a good app for photo editing  ,photo editing ,photo editing 
45,You can so many things from this app  , , 
46,You can download this app without fearing  , ,download 
47,I`ve seen so many photo editing tools but this one is the best 10x a lot its really proffesional ,photo editing ,photo editing 
48,I have a blast using this app with my eight yr old daughter! , , 
49,Able to take r add to photo love it! ,take photo;add to photo ,take r;photo 
50,"First, why do you need Access to my phone ", ,Access to my phone 
51,Why are you running in background when i am not using you , ,running in background 
52,Get off my phone! , ,Get 
53,Makes neat collages and great for editing ,editing ,collages;editing 
54,U have t ok down load every thing u want to add to it like the effects ,effects ,down load 
55,A powerful photo editor with many wonderfull effects ,photo editor;effects ,photo editor 
56,"Horrible editor, worst app in this entire store  ",editor ,editor 
57,"I give it half of no stars, stupid as a pair of inbred babies ", ,inbred babies 
58,Great Photo Editing App for editing Photos ,Photo Editing;editing Photos ,Photo Editing;editing Photos 
59,verry nice app and i am happy this apps , , 
60,its a great app to edit pics ,edit pics ,edit pics 
61,Very satisfied with the results I get by using this software :) ,the results I get ,results 
62,Helped me make AMAZING photos ,make AMAZING photos ,make AMAZING photos 
63,The best that one can get , ,get 
64,"I gave this app a 5 stars cause rate me pls always pops out and its annoying, good app though  ",rate me pls always pops out , 
65,Loved using it  , ,using 
